Date,Invoice ID,Customer,Product,Qty,Unit Price,Total,City
21-Sep-26,INV083,Abigail Myers,Monitor,1,180,180,Dallas
22-Sep-26,INV084,Adrian Long,Laptop,2,850,1700,Houston
23-Sep-26,INV085,Isla Foster,Headphones,3,35,105,Miami
24-Sep-26,INV086,Nolan Sanders,Keyboard,4,25,100,New York
25-Sep-26,INV087,Eliana Ross,Mouse,6,12,72,Chicago
26-Sep-26,INV088,Easton Morales,Monitor,2,180,360,Dallas
27-Sep-26,INV089,Naomi Powell,Laptop,1,850,850,Houston
28-Sep-26,INV090,Colton Sullivan,Headphones,5,35,175,Miami
29-Sep-26,INV091,Willow Russell,Keyboard,2,25,50,New York
30-Sep-26,INV092,Archer Ortiz,Mouse,8,12,96,Chicago
1-Oct-26,INV093,Ivy Jenkins,Monitor,3,180,540,Dallas
2-Oct-26,INV094,Jaxon Gutierrez,Laptop,1,850,850,Houston
3-Oct-26,INV095,Emilia Perry,Headphones,4,35,140,Miami
4-Oct-26,INV096,Wesley Butler,Keyboard,3,25,75,New York
5-Oct-26,INV097,Clara Barnes,Mouse,5,12,60,Chicago
6-Oct-26,INV098,Christian Fisher,Monitor,2,180,360,Dallas
7-Oct-26,INV099,Madelyn Henderson,Laptop,1,850,850,Houston
8-Oct-26,INV100,Silas Coleman,Headphones,4,35,140,Miami
9-Oct-26,INV101,Katherine Simmons,Keyboard,3,25,75,New York
10-Oct-26,INV102,Jonathan Patterson,Mouse,6,12,72,Chicago
11-Oct-26,INV103,Alice Jordan,Monitor,1,180,180,Dallas
12-Oct-26,INV104,Ian Reynolds,Laptop,2,850,1700,Houston
13-Oct-26,INV105,Elena Hamilton,Headphones,3,35,105,Miami
,,,,,,,
